"collection1"
"property1.text","property1.href"
"","http://www.gsmarena.com/acer-phones-59.php"
"Acer phones (71)","http://www.gsmarena.com/acer-phones-59.php"
"","http://www.gsmarena.com/alcatel-phones-5.php"
"Alcatel phones (298)","http://www.gsmarena.com/alcatel-phones-5.php"
"","http://www.gsmarena.com/allview-phones-88.php"
"Allview phones (45)","http://www.gsmarena.com/allview-phones-88.php"
"","http://www.gsmarena.com/amazon-phones-76.php"
"Amazon phones (11)","http://www.gsmarena.com/amazon-phones-76.php"
"","http://www.gsmarena.com/amoi-phones-28.php"
"Amoi phones (47)","http://www.gsmarena.com/amoi-phones-28.php"
"","http://www.gsmarena.com/apple-phones-48.php"
"Apple phones (26)","http://www.gsmarena.com/apple-phones-48.php"
"","http://www.gsmarena.com/archos-phones-90.php"
"Archos phones (18)","http://www.gsmarena.com/archos-phones-90.php"
"","http://www.gsmarena.com/asus-phones-46.php"
"Asus phones (81)","http://www.gsmarena.com/asus-phones-46.php"
"","http://www.gsmarena.com/at&t-phones-57.php"
"AT&T phones (4)","http://www.gsmarena.com/at&t-phones-57.php"
"","http://www.gsmarena.com/benefon-phones-15.php"
"Benefon phones (9)","http://www.gsmarena.com/benefon-phones-15.php"
"","http://www.gsmarena.com/benq-phones-31.php"
"BenQ phones (33)","http://www.gsmarena.com/benq-phones-31.php"
"","http://www.gsmarena.com/benq_siemens-phones-42.php"
"BenQ-Siemens phones (27)","http://www.gsmarena.com/benq_siemens-phones-42.php"
"","http://www.gsmarena.com/bird-phones-34.php"
"Bird phones (61)","http://www.gsmarena.com/bird-phones-34.php"
"","http://www.gsmarena.com/blackberry-phones-36.php"
"BlackBerry phones (79)","http://www.gsmarena.com/blackberry-phones-36.php"
"","http://www.gsmarena.com/blu-phones-67.php"
"BLU phones (115)","http://www.gsmarena.com/blu-phones-67.php"
"","http://www.gsmarena.com/bosch-phones-10.php"
"Bosch phones (10)","http://www.gsmarena.com/bosch-phones-10.php"
"","http://www.gsmarena.com/casio-phones-77.php"
"Casio phones (5)","http://www.gsmarena.com/casio-phones-77.php"
"","http://www.gsmarena.com/cat-phones-89.php"
"Cat phones (5)","http://www.gsmarena.com/cat-phones-89.php"
"","http://www.gsmarena.com/celkon-phones-75.php"
"Celkon phones (206)","http://www.gsmarena.com/celkon-phones-75.php"
"","http://www.gsmarena.com/chea-phones-24.php"
"Chea phones (12)","http://www.gsmarena.com/chea-phones-24.php"
"","http://www.gsmarena.com/dell-phones-61.php"
"Dell phones (19)","http://www.gsmarena.com/dell-phones-61.php"
"","http://www.gsmarena.com/emporia-phones-93.php"
"Emporia phones (15)","http://www.gsmarena.com/emporia-phones-93.php"
"","http://www.gsmarena.com/ericsson-phones-2.php"
"Ericsson phones (40)","http://www.gsmarena.com/ericsson-phones-2.php"
"","http://www.gsmarena.com/eten-phones-40.php"
"Eten phones (22)","http://www.gsmarena.com/eten-phones-40.php"
"","http://www.gsmarena.com/fujitsu_siemens-phones-50.php"
"Fujitsu Siemens phones (2)","http://www.gsmarena.com/fujitsu_siemens-phones-50.php"
"","http://www.gsmarena.com/garmin_asus-phones-65.php"
"Garmin-Asus phones (5)","http://www.gsmarena.com/garmin_asus-phones-65.php"
"","http://www.gsmarena.com/gigabyte-phones-47.php"
"Gigabyte phones (55)","http://www.gsmarena.com/gigabyte-phones-47.php"
"","http://www.gsmarena.com/gionee-phones-92.php"
"Gionee phones (23)","http://www.gsmarena.com/gionee-phones-92.php"
"","http://www.gsmarena.com/haier-phones-33.php"
"Haier phones (51)","http://www.gsmarena.com/haier-phones-33.php"
"","http://www.gsmarena.com/hp-phones-41.php"
"HP phones (34)","http://www.gsmarena.com/hp-phones-41.php"
"","http://www.gsmarena.com/htc-phones-45.php"
"HTC phones (198)","http://www.gsmarena.com/htc-phones-45.php"
"","http://www.gsmarena.com/huawei-phones-58.php"
"Huawei phones (158)","http://www.gsmarena.com/huawei-phones-58.php"
"","http://www.gsmarena.com/i_mate-phones-35.php"
"i-mate phones (34)","http://www.gsmarena.com/i_mate-phones-35.php"
"","http://www.gsmarena.com/i_mobile-phones-52.php"
"i-mobile phones (37)","http://www.gsmarena.com/i_mobile-phones-52.php"
"","http://www.gsmarena.com/icemobile-phones-69.php"
"Icemobile phones (55)","http://www.gsmarena.com/icemobile-phones-69.php"
"","http://www.gsmarena.com/innostream-phones-29.php"
"Innostream phones (18)","http://www.gsmarena.com/innostream-phones-29.php"
"","http://www.gsmarena.com/inq-phones-60.php"
"iNQ phones (5)","http://www.gsmarena.com/inq-phones-60.php"
"","http://www.gsmarena.com/jolla-phones-84.php"
"Jolla phones (2)","http://www.gsmarena.com/jolla-phones-84.php"
"","http://www.gsmarena.com/karbonn-phones-83.php"
"Karbonn phones (57)","http://www.gsmarena.com/karbonn-phones-83.php"
"","http://www.gsmarena.com/kyocera-phones-17.php"
"Kyocera phones (20)","http://www.gsmarena.com/kyocera-phones-17.php"
"","http://www.gsmarena.com/lava-phones-94.php"
"Lava phones (37)","http://www.gsmarena.com/lava-phones-94.php"
"","http://www.gsmarena.com/lenovo-phones-73.php"
"Lenovo phones (89)","http://www.gsmarena.com/lenovo-phones-73.php"
"","http://www.gsmarena.com/lg-phones-20.php"
"LG phones (519)","http://www.gsmarena.com/lg-phones-20.php"
"","http://www.gsmarena.com/maxon-phones-14.php"
"Maxon phones (31)","http://www.gsmarena.com/maxon-phones-14.php"
"","http://www.gsmarena.com/maxwest-phones-87.php"
"Maxwest phones (22)","http://www.gsmarena.com/maxwest-phones-87.php"
"","http://www.gsmarena.com/meizu-phones-74.php"
"Meizu phones (6)","http://www.gsmarena.com/meizu-phones-74.php"
"","http://www.gsmarena.com/micromax-phones-66.php"
"Micromax phones (172)","http://www.gsmarena.com/micromax-phones-66.php"
"","http://www.gsmarena.com/microsoft-phones-64.php"
"Microsoft phones (8)","http://www.gsmarena.com/microsoft-phones-64.php"
"","http://www.gsmarena.com/mitac-phones-25.php"
"Mitac phones (12)","http://www.gsmarena.com/mitac-phones-25.php"
"","http://www.gsmarena.com/mitsubishi-phones-8.php"
"Mitsubishi phones (25)","http://www.gsmarena.com/mitsubishi-phones-8.php"
"","http://www.gsmarena.com/modu-phones-63.php"
"Modu phones (8)","http://www.gsmarena.com/modu-phones-63.php"
"","http://www.gsmarena.com/motorola-phones-4.php"
"Motorola phones (408)","http://www.gsmarena.com/motorola-phones-4.php"
"","http://www.gsmarena.com/mwg-phones-56.php"
"MWg phones (5)","http://www.gsmarena.com/mwg-phones-56.php"
"","http://www.gsmarena.com/nec-phones-12.php"
"NEC phones (73)","http://www.gsmarena.com/nec-phones-12.php"
"","http://www.gsmarena.com/neonode-phones-22.php"
"Neonode phones (3)","http://www.gsmarena.com/neonode-phones-22.php"
"","http://www.gsmarena.com/niu-phones-79.php"
"NIU phones (20)","http://www.gsmarena.com/niu-phones-79.php"
"","http://www.gsmarena.com/nokia-phones-1.php"
"Nokia phones (431)","http://www.gsmarena.com/nokia-phones-1.php"
"","http://www.gsmarena.com/nvidia-phones-97.php"
"Nvidia phones (2)","http://www.gsmarena.com/nvidia-phones-97.php"
"","http://www.gsmarena.com/o2-phones-30.php"
"O2 phones (45)","http://www.gsmarena.com/o2-phones-30.php"
"","http://www.gsmarena.com/oneplus-phones-95.php"
"OnePlus phones (1)","http://www.gsmarena.com/oneplus-phones-95.php"
"","http://www.gsmarena.com/oppo-phones-82.php"
"Oppo phones (26)","http://www.gsmarena.com/oppo-phones-82.php"
"","http://www.gsmarena.com/orange-phones-71.php"
"Orange phones (18)","http://www.gsmarena.com/orange-phones-71.php"
"","http://www.gsmarena.com/palm-phones-27.php"
"Palm phones (16)","http://www.gsmarena.com/palm-phones-27.php"
"","http://www.gsmarena.com/panasonic-phones-6.php"
"Panasonic phones (59)","http://www.gsmarena.com/panasonic-phones-6.php"
"","http://www.gsmarena.com/pantech-phones-32.php"
"Pantech phones (72)","http://www.gsmarena.com/pantech-phones-32.php"
"","http://www.gsmarena.com/parla-phones-81.php"
"Parla phones (7)","http://www.gsmarena.com/parla-phones-81.php"
"","http://www.gsmarena.com/philips-phones-11.php"
"Philips phones (217)","http://www.gsmarena.com/philips-phones-11.php"
"","http://www.gsmarena.com/plum-phones-72.php"
"Plum phones (69)","http://www.gsmarena.com/plum-phones-72.php"
"","http://www.gsmarena.com/prestigio-phones-86.php"
"Prestigio phones (53)","http://www.gsmarena.com/prestigio-phones-86.php"
"","http://www.gsmarena.com/qtek-phones-38.php"
"Qtek phones (21)","http://www.gsmarena.com/qtek-phones-38.php"
"","http://www.gsmarena.com/sagem-phones-13.php"
"Sagem phones (120)","http://www.gsmarena.com/sagem-phones-13.php"
"","http://www.gsmarena.com/samsung-phones-9.php"
"Samsung phones (994)","http://www.gsmarena.com/samsung-phones-9.php"
"","http://www.gsmarena.com/sendo-phones-18.php"
"Sendo phones (19)","http://www.gsmarena.com/sendo-phones-18.php"
"","http://www.gsmarena.com/sewon-phones-26.php"
"Sewon phones (25)","http://www.gsmarena.com/sewon-phones-26.php"
"","http://www.gsmarena.com/sharp-phones-23.php"
"Sharp phones (41)","http://www.gsmarena.com/sharp-phones-23.php"
"","http://www.gsmarena.com/siemens-phones-3.php"
"Siemens phones (94)","http://www.gsmarena.com/siemens-phones-3.php"
"","http://www.gsmarena.com/sonim-phones-54.php"
"Sonim phones (12)","http://www.gsmarena.com/sonim-phones-54.php"
"","http://www.gsmarena.com/sony-phones-7.php"
"Sony phones (80)","http://www.gsmarena.com/sony-phones-7.php"
"","http://www.gsmarena.com/sony_ericsson-phones-19.php"
"Sony Ericsson phones (188)","http://www.gsmarena.com/sony_ericsson-phones-19.php"
"","http://www.gsmarena.com/spice-phones-68.php"
"Spice phones (103)","http://www.gsmarena.com/spice-phones-68.php"
"","http://www.gsmarena.com/t_mobile-phones-55.php"
"T-Mobile phones (52)","http://www.gsmarena.com/t_mobile-phones-55.php"
"","http://www.gsmarena.com/tel_me_-phones-21.php"
"Tel.Me. phones (7)","http://www.gsmarena.com/tel_me_-phones-21.php"
"","http://www.gsmarena.com/telit-phones-16.php"
"Telit phones (30)","http://www.gsmarena.com/telit-phones-16.php"
"","http://www.gsmarena.com/thuraya-phones-49.php"
"Thuraya phones (1)","http://www.gsmarena.com/thuraya-phones-49.php"
"","http://www.gsmarena.com/toshiba-phones-44.php"
"Toshiba phones (35)","http://www.gsmarena.com/toshiba-phones-44.php"
"","http://www.gsmarena.com/unnecto-phones-91.php"
"Unnecto phones (16)","http://www.gsmarena.com/unnecto-phones-91.php"
"","http://www.gsmarena.com/vertu-phones-39.php"
"Vertu phones (16)","http://www.gsmarena.com/vertu-phones-39.php"
"","http://www.gsmarena.com/verykool-phones-70.php"
"verykool phones (80)","http://www.gsmarena.com/verykool-phones-70.php"
"","http://www.gsmarena.com/vivo-phones-98.php"
"Vivo phones (5)","http://www.gsmarena.com/vivo-phones-98.php"
"","http://www.gsmarena.com/vk_mobile-phones-37.php"
"VK Mobile phones (31)","http://www.gsmarena.com/vk_mobile-phones-37.php"
"","http://www.gsmarena.com/vodafone-phones-53.php"
"Vodafone phones (63)","http://www.gsmarena.com/vodafone-phones-53.php"
"","http://www.gsmarena.com/wiko-phones-96.php"
"Wiko phones (6)","http://www.gsmarena.com/wiko-phones-96.php"
"","http://www.gsmarena.com/wnd-phones-51.php"
"WND phones (5)","http://www.gsmarena.com/wnd-phones-51.php"
"","http://www.gsmarena.com/xcute-phones-43.php"
"XCute phones (4)","http://www.gsmarena.com/xcute-phones-43.php"
"","http://www.gsmarena.com/xiaomi-phones-80.php"
"Xiaomi phones (11)","http://www.gsmarena.com/xiaomi-phones-80.php"
"","http://www.gsmarena.com/xolo-phones-85.php"
"XOLO phones (57)","http://www.gsmarena.com/xolo-phones-85.php"
"","http://www.gsmarena.com/yezz-phones-78.php"
"Yezz phones (49)","http://www.gsmarena.com/yezz-phones-78.php"
"","http://www.gsmarena.com/zte-phones-62.php"
"ZTE phones (135)","http://www.gsmarena.com/zte-phones-62.php"
"TEST PHONE (0)","http://www.testphone.test"
